Filename,Fast Kernighan Lin time,Precise Kernighan Lin time,Fast Kernighan Lin result,Precise Kernighan Lin result
10_15_7.txt,0.000055,0.000105,84,70
10_15_20.txt,0.000060,0.000079,54,54
10_15_8.txt,0.000058,0.000112,70,68
10_15_26.txt,0.000059,0.000078,79,79
10_15_15.txt,0.000062,0.000118,93,76
10_15_16.txt,0.000054,0.000086,71,71
10_15_29.txt,0.000048,0.000102,69,65
10_15_9.txt,0.000039,0.000058,56,56
10_15_17.txt,0.000059,0.000113,46,35
10_15_4.txt,0.000058,0.000111,64,61
10_15_14.txt,0.000056,0.000129,71,63
10_15_30.txt,0.000048,0.000068,76,76
10_15_5.txt,0.000058,0.000077,35,35
10_15_3.txt,0.000057,0.000076,66,66
10_15_6.txt,0.000049,0.000069,51,51
10_15_22.txt,0.000049,0.000069,66,66
10_15_23.txt,0.000057,0.000077,65,65
10_15_1.txt,0.000058,0.000116,85,82
10_15_28.txt,0.000060,0.000113,75,71
10_15_21.txt,0.000048,0.000102,58,47
10_15_27.txt,0.000066,0.000121,52,49
10_15_19.txt,0.000057,0.000077,47,47
10_15_24.txt,0.000056,0.000076,49,49
10_15_11.txt,0.000051,0.000071,42,42
10_15_12.txt,0.000072,0.000092,55,55
10_15_2.txt,0.000057,0.000158,70,65
10_15_13.txt,0.000059,0.000078,63,63
10_15_25.txt,0.000057,0.000077,47,47
10_15_18.txt,0.000076,0.000139,63,35
10_15_10.txt,0.000049,0.000103,56,52
